,date,home_team,away_team,home_score,away_score,FIFA_ID,home_team_continent,away_team_continent,tournament,city,country,shoot_out,winning_team,losing_team
0,1993-08-08,Bolivia,Uruguay,3,1,0,South America,South America,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Uruguay
1,1993-08-08,Ecuador,Venezuela,5,0,1,South America,South America,FIFA World Cup qualification,Quito,Ecuador,No,Ecuador,Venezuela
2,1993-08-08,Paraguay,Argentina,1,3,2,South America,South America,FIFA World Cup qualification,Asunción,Paraguay,No,Argentina,Paraguay
3,1993-08-08,Peru,Colombia,0,1,3,South America,South America,FIFA World Cup qualification,Lima,Peru,No,Colombia,Peru
4,1993-08-15,Australia,Canada,2,1,4,Oceania,North America,FIFA World Cup qualification,Sydney,Australia,Yes,Australia,Canada
5,1993-08-15,Bolivia,Ecuador,1,0,5,South America,South America,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Ecuador
6,1993-08-15,Colombia,Argentina,2,1,6,South America,South America,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Argentina
7,1993-08-15,Uruguay,Brazil,1,1,7,South America,South America,FIFA World Cup qualification,Montevideo,Uruguay,No,Draw,Draw
8,1993-08-22,Argentina,Peru,2,1,8,South America,South America,FIFA World Cup qualification,Buenos Aires,Argentina,No,Argentina,Peru
9,1993-08-22,Bolivia,Venezuela,7,0,9,South America,South America,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Venezuela
10,1993-08-22,Brazil,Ecuador,2,0,10,South America,South America,FIFA World Cup qualification,São Paulo,Brazil,No,Brazil,Ecuador
11,1993-08-22,Paraguay,Colombia,1,1,11,South America,South America,FIFA World Cup qualification,Asunción,Paraguay,No,Draw,Draw
12,1993-08-22,Sweden,France,1,1,12,Europe,Europe,FIFA World Cup qualification,Solna,Sweden,No,Draw,Draw
13,1993-08-25,Austria,Finland,3,0,13,Europe,Europe,FIFA World Cup qualification,Vienna,Austria,No,Austria,Finland
14,1993-08-25,Denmark,Lithuania,4,0,14,Europe,Europe,FIFA World Cup qualification,Copenhagen,Denmark,No,Denmark,Lithuania
15,1993-08-29,Argentina,Paraguay,0,0,15,South America,South America,FIFA World Cup qualification,Buenos Aires,Argentina,No,Draw,Draw
16,1993-08-29,Brazil,Bolivia,6,0,16,South America,South America,FIFA World Cup qualification,Recife,Brazil,No,Brazil,Bolivia
17,1993-08-29,Colombia,Peru,4,0,17,South America,South America,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Peru
18,1993-08-29,Uruguay,Venezuela,4,0,18,South America,South America,FIFA World Cup qualification,Montevideo,Uruguay,No,Uruguay,Venezuela
19,1993-09-05,Argentina,Colombia,0,5,19,South America,South America,FIFA World Cup qualification,Buenos Aires,Argentina,No,Colombia,Argentina
20,1993-09-05,Brazil,Venezuela,4,0,20,South America,South America,FIFA World Cup qualification,Belo Horizonte,Brazil,No,Brazil,Venezuela
21,1993-09-05,Ecuador,Uruguay,0,1,21,South America,South America,FIFA World Cup qualification,Guayaquil,Ecuador,No,Uruguay,Ecuador
22,1993-09-05,Estonia,Portugal,0,2,22,Europe,Europe,FIFA World Cup qualification,Tallinn,Estonia,No,Portugal,Estonia
23,1993-09-05,Peru,Paraguay,2,2,23,South America,South America,FIFA World Cup qualification,Lima,Peru,No,Draw,Draw
24,1993-09-08,Albania,Denmark,0,1,24,Europe,Europe,FIFA World Cup qualification,Tirana,Albania,No,Denmark,Albania
25,1993-09-08,Bulgaria,Sweden,1,1,25,Europe,Europe,FIFA World Cup qualification,Sofia,Bulgaria,No,Draw,Draw
26,1993-09-08,England,Poland,3,0,26,Europe,Europe,FIFA World Cup qualification,London,England,No,England,Poland
27,1993-09-08,Faroe Islands,Romania,0,4,27,Europe,Europe,FIFA World Cup qualification,Toftir,Faroe Islands,No,Romania,Faroe Islands
28,1993-09-08,Finland,France,0,2,28,Europe,Europe,FIFA World Cup qualification,Tampere,Finland,No,France,Finland
29,1993-09-08,Hungary,Russia,1,3,29,Europe,Europe,FIFA World Cup qualification,Budapest,Hungary,No,Russia,Hungary
30,1993-09-08,Iceland,Luxembourg,1,0,30,Europe,Europe,FIFA World Cup qualification,Reykjavík,Iceland,No,Iceland,Luxembourg
31,1993-09-08,Republic of Ireland,Lithuania,2,0,31,Europe,Europe,FIFA World Cup qualification,Dublin,Republic of Ireland,No,Republic of Ireland,Lithuania
32,1993-09-08,Northern Ireland,Latvia,2,0,32,Europe,Europe,FIFA World Cup qualification,Belfast,Northern Ireland,No,Northern Ireland,Latvia
33,1993-09-08,Scotland,Switzerland,1,1,33,Europe,Europe,FIFA World Cup qualification,Aberdeen,Scotland,No,Draw,Draw
34,1993-09-12,Uruguay,Bolivia,2,1,34,South America,South America,FIFA World Cup qualification,Montevideo,Uruguay,No,Uruguay,Bolivia
35,1993-09-12,Venezuela,Ecuador,2,1,35,South America,South America,FIFA World Cup qualification,Puerto Ordaz,Venezuela,No,Venezuela,Ecuador
36,1993-09-19,Brazil,Uruguay,2,0,36,South America,South America,FIFA World Cup qualification,Rio de Janeiro,Brazil,No,Brazil,Uruguay
37,1993-09-19,Ecuador,Bolivia,1,1,37,South America,South America,FIFA World Cup qualification,Guayaquil,Ecuador,No,Draw,Draw
38,1993-09-22,Albania,Spain,1,5,38,Europe,Europe,FIFA World Cup qualification,Tirana,Albania,No,Spain,Albania
39,1993-09-22,Estonia,Italy,0,3,39,Europe,Europe,FIFA World Cup qualification,Tallinn,Estonia,No,Italy,Estonia
40,1993-09-22,Norway,Poland,1,0,40,Europe,Europe,FIFA World Cup qualification,Oslo,Norway,No,Norway,Poland
41,1993-09-22,San Marino,Netherlands,0,7,41,Europe,Europe,FIFA World Cup qualification,Bologna,Italy,No,Netherlands,San Marino
42,1993-09-25,Nigeria,Côte d'Ivoire,4,1,42,Africa,Africa,FIFA World Cup qualification,Lagos,Nigeria,No,Nigeria,Côte d'Ivoire
43,1993-09-26,Zambia,Senegal,4,0,43,Africa,Africa,FIFA World Cup qualification,Lusaka,Zambia,No,Zambia,Senegal
44,1993-09-26,Zimbabwe,Guinea,1,0,44,Africa,Africa,FIFA World Cup qualification,Harare,Zimbabwe,No,Zimbabwe,Guinea
45,1993-10-08,Algeria,Nigeria,1,1,45,Africa,Africa,FIFA World Cup qualification,Algiers,Algeria,No,Draw,Draw
46,1993-10-10,Cameroon,Zimbabwe,3,1,46,Africa,Africa,FIFA World Cup qualification,Yaoundé,Cameroon,No,Cameroon,Zimbabwe
47,1993-10-10,Morocco,Zambia,1,0,47,Africa,Africa,FIFA World Cup qualification,Casablanca,Morocco,No,Morocco,Zambia
48,1993-10-12,Luxembourg,Greece,1,3,48,Europe,Europe,FIFA World Cup qualification,Luxembourg,Luxembourg,No,Greece,Luxembourg
49,1993-10-13,Bulgaria,Austria,4,1,49,Europe,Europe,FIFA World Cup qualification,Sofia,Bulgaria,No,Bulgaria,Austria
50,1993-10-13,Denmark,Northern Ireland,1,0,50,Europe,Europe,FIFA World Cup qualification,Copenhagen,Denmark,No,Denmark,Northern Ireland
51,1993-10-13,France,Israel,2,3,51,Europe,Europe,FIFA World Cup qualification,Paris,France,No,Israel,France
52,1993-10-13,Republic of Ireland,Spain,1,3,52,Europe,Europe,FIFA World Cup qualification,Dublin,Republic of Ireland,No,Spain,Republic of Ireland
53,1993-10-13,Italy,Scotland,3,1,53,Europe,Europe,FIFA World Cup qualification,Rome,Italy,No,Italy,Scotland
54,1993-10-13,Netherlands,England,2,0,54,Europe,Europe,FIFA World Cup qualification,Rotterdam,Netherlands,No,Netherlands,England
55,1993-10-13,Poland,Norway,0,3,55,Europe,Europe,FIFA World Cup qualification,Poznań,Poland,No,Norway,Poland
56,1993-10-13,Portugal,Switzerland,1,0,56,Europe,Europe,FIFA World Cup qualification,Porto,Portugal,No,Portugal,Switzerland
57,1993-10-13,Romania,Belgium,2,1,57,Europe,Europe,FIFA World Cup qualification,Bucharest,Romania,No,Romania,Belgium
58,1993-10-13,Sweden,Finland,3,2,58,Europe,Europe,FIFA World Cup qualification,Solna,Sweden,No,Sweden,Finland
59,1993-10-13,Wales,Cyprus,2,0,59,Europe,Europe,FIFA World Cup qualification,Cardiff,Wales,No,Wales,Cyprus
60,1993-10-15,Korea DPR,Iraq,3,2,60,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Korea DPR,Iraq
61,1993-10-15,Saudi Arabia,Japan,0,0,61,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw
62,1993-10-16,IR Iran,Korea Republic,0,3,62,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Korea Republic,IR Iran
63,1993-10-18,Japan,IR Iran,1,2,63,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,IR Iran,Japan
64,1993-10-18,Korea DPR,Saudi Arabia,1,2,64,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Saudi Arabia,Korea DPR
65,1993-10-19,Iraq,Korea Republic,2,2,65,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw
66,1993-10-21,Korea DPR,Japan,0,3,66,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Japan,Korea DPR
67,1993-10-22,IR Iran,Iraq,1,2,67,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Iraq,IR Iran
68,1993-10-22,Korea Republic,Saudi Arabia,1,1,68,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw
69,1993-10-24,Iraq,Saudi Arabia,1,1,69,Asia,Asia,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw
