,date,home_team,away_team,home_team_continent,away_team_continent,home_score,away_score,tournament,city,country,shoot_out,winning_team,losing_team,goals
0,1993-08-08,Bolivia,Uruguay,South America,South America,3.0,1.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Uruguay,4.0
1,1993-08-08,Ecuador,Venezuela,South America,South America,5.0,0.0,FIFA World Cup qualification,Quito,Ecuador,No,Ecuador,Venezuela,5.0
2,1993-08-08,Paraguay,Argentina,South America,South America,1.0,3.0,FIFA World Cup qualification,Asunción,Paraguay,No,Argentina,Paraguay,4.0
3,1993-08-08,Peru,Colombia,South America,South America,0.0,1.0,FIFA World Cup qualification,Lima,Peru,No,Colombia,Peru,1.0
4,1993-08-15,Australia,Canada,Oceania,North America,2.0,1.0,FIFA World Cup qualification,Sydney,Australia,Yes,Australia,Canada,3.0
5,1993-08-15,Bolivia,Ecuador,South America,South America,1.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Ecuador,1.0
6,1993-08-15,Colombia,Argentina,South America,South America,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Argentina,3.0
7,1993-08-15,Uruguay,Brazil,South America,South America,1.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,No,Draw,Draw,2.0
8,1993-08-22,Argentina,Peru,South America,South America,2.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Argentina,Peru,3.0
9,1993-08-22,Bolivia,Venezuela,South America,South America,7.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Venezuela,7.0
10,1993-08-22,Brazil,Ecuador,South America,South America,2.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,No,Brazil,Ecuador,2.0
11,1993-08-22,Paraguay,Colombia,South America,South America,1.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,No,Draw,Draw,2.0
12,1993-08-22,Sweden,France,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Solna,Sweden,No,Draw,Draw,2.0
13,1993-08-25,Austria,Finland,Europe,Europe,3.0,0.0,FIFA World Cup qualification,Vienna,Austria,No,Austria,Finland,3.0
14,1993-08-25,Denmark,Lithuania,Europe,Europe,4.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,No,Denmark,Lithuania,4.0
15,1993-08-29,Argentina,Paraguay,South America,South America,0.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Draw,Draw,0.0
16,1993-08-29,Brazil,Bolivia,South America,South America,6.0,0.0,FIFA World Cup qualification,Recife,Brazil,No,Brazil,Bolivia,6.0
17,1993-08-29,Colombia,Peru,South America,South America,4.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Peru,4.0
